owner_name,first_name,patronymic,last_name,declaration_yeakr,office,position,url
Марченко Руслан Олександрович,Руслан,Олександрович,Марченко,2019,Біловодський районний суд Луганської області,судовий розпорядник,https://declarations.com.ua/declaration/nacp_18e90399-86db-4192-a8c1-9d6c81e48425
Марченко Руслан Олександрович,Руслан,Олександрович,Марченко,2019,Біловодський районний суд Луганської області,судовий розпорядник,https://declarations.com.ua/declaration/nacp_5e5fe822-76d3-4369-b98a-219be50f285c
Марченко Руслан Олександрович,Руслан,Олександрович,Марченко,2018,Біловодський районний суд Луганської області,судовий розпорядник,https://declarations.com.ua/declaration/nacp_4d24561b-ff34-43d3-93db-91737d66baf3
Марченко Руслан Олександрович,Юлія,Олексіївна,Марченко,2019,Виконавчий комітет Української міської ради,спеціаліст І категорії з загальних питань,https://declarations.com.ua/declaration/nacp_cf9cb73c-ce17-4754-9aa8-bb63ad4226cc
Марченко Руслан Олександрович,Віта,Олександрівна,Марченко,2018,Національна комісія з цінних паперів та фондового ринку,головний спеціаліст,https://declarations.com.ua/declaration/nacp_574480d6-1861-4c2e-9c53-74a82a6d1246
Марченко Руслан Олександрович,Віта,Олександрівна,Марченко,2019,Національна комісія з цінних паперів та фондового ринку,головний спеціаліст,https://declarations.com.ua/declaration/nacp_d354cb50-b5a2-4ebf-8f04-cc0dca9c973b
Марченко Руслан Олександрович,Віта,Олександрівна,Марченко,2019,Національна комісія з цінних паперів та фондового ринку,головний спеціаліст,https://declarations.com.ua/declaration/nacp_0518eb0b-6d18-459e-b929-2d89b11913a8
Марченко Руслан Олександрович,Віта,Олександрівна,Марченко,2019,Національна комісія з цінних паперів та фондового ринку,головний спеціаліст,https://declarations.com.ua/declaration/nacp_6aaa59a7-fe0b-43e1-b9b9-000958aa3dd9
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2018,Центр надання адміністративних послуг та розвитку підприємництва Запорізької міської ради,адміністратор відділу з надання адміністративних послуг по Олександрівському району,https://declarations.com.ua/declaration/nacp_22e948c5-bf41-46dc-9388-3b7c2ecaf028
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2018,Виконавчий комітет Бердянської міської ради,Державний реєстратор сектору державної реєстрації суб'єктів господарської діяльності управління економічного розвитку,https://declarations.com.ua/declaration/nacp_51c9d0be-687d-49bf-9c96-acee9a3b0a28
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2018,Департамент надання адміністративних послуг та розвитку підприємництва Запорізької міської ради,адміністратор відділу з надання адміністративних послуг по Дніпровському району,https://declarations.com.ua/declaration/nacp_52d893af-5c0e-43f3-b3ab-d605e8c7f8be
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2018,Центр надання адміністративних послуг та розвитку підприємництва Запорізької міської ради,адміністратор відділу з надання адміністративних послуг по Дніпровському району,https://declarations.com.ua/declaration/nacp_91a690f4-43da-47dd-ac2d-9bc73944adac
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2019,Виконавчий комітет Бердянської міської ради,Державний реєстратор сектору державної реєстрації суб'єктів господарської діяльності управління економічного розвитку,https://declarations.com.ua/declaration/nacp_50965eb2-a3e3-4243-bcf1-e76520a34e47
Щербина Ольга Сергіївна,Ольга,Сергіївна,Щербина,2019,Департамент надання адміністративних послуг та розвитку підприємництва Запорізької міської ради,адміністратор відділу з надання адміністративних послуг по Дніпровському району,https://declarations.com.ua/declaration/nacp_6c4e6920-8523-4578-9b00-daa9da48614d
Щербина Ольга Сергіївна,Сергій,Федорович,Щербина,2020,Донцівська сільська рада,депутат Донцівської сільської ради сьомого скликання,https://declarations.com.ua/declaration/nacp_9e051549-6e0b-413b-8d78-3712179ad804
Щербина Ольга Сергіївна,Сергій,Федорович,Щербина,2019,Донцівська сільська рада,депутат Донцівської сільської ради сьомого скликання,https://declarations.com.ua/declaration/nacp_a82a60da-dc0c-452a-b5b7-575660bbea98
Щербина Ольга Сергіївна,Сергій,Федорович,Щербина,2018,Донцівська сільська рада,депутат Донцівської сільської ради сьомого скликання,https://declarations.com.ua/declaration/nacp_3392ebce-aea8-4978-a668-f75a6fe7a657
Щербина Ольга Сергіївна,Ольга,Вікторівна,Ситовська,2019,Новопетрівська сільська рада,секретар сільської ради,https://declarations.com.ua/declaration/nacp_8a05caf4-6a50-4ed1-99c8-4daeb814e9b1
Щербина Ольга Сергіївна,Ольга,Вікторівна,Ситовська,2018,Новопетрівська сільська рада,секретар сільської ради,https://declarations.com.ua/declaration/nacp_b373e822-4504-4da6-a994-a1a65d00c664
Щербина Ольга Сергіївна,Ольга,Вікторівна,Ситовська,2020,Новопетрівська сільська рада,секретар сільської ради,https://declarations.com.ua/declaration/nacp_44f59727-f78c-4892-82be-f0ec5870aa62
