owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Фатьянов Ігор Віталійович,Віктор,Ничипорович,М'ялик,2020,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_677edc0e-44e5-48c3-9105-151e9364d346
Фатьянов Ігор Віталійович,Віктор,Ничипорович,М'ялик,2020,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_d75b6bd1-23f3-4657-8a08-3a967c872f0a
Фатьянов Віталій Олександрович,Віктор,Ничипорович,М'ялик,2020,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_677edc0e-44e5-48c3-9105-151e9364d346
Фатьянов Віталій Олександрович,Віктор,Ничипорович,М'ялик,2020,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_d75b6bd1-23f3-4657-8a08-3a967c872f0a
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2018,Виконавчий комітет Лисянської селищної ради,ЗАСТУПНИК ГОЛОВИ ,https://declarations.com.ua/declaration/nacp_4104cfc2-235f-48e9-8820-8682cb79f787
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2018,ЛИСЯНСЬКА СЕЛИЩНА РАДА,ЗАСТУПНИК ГОЛОВИ ,https://declarations.com.ua/declaration/nacp_d50eb00b-86f5-40b2-b693-58fdb41ad0b0
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2018,ЛИСЯНСЬКА СЕЛИЩНА РАДА,ЗАСТУПНИК ГОЛОВИ ,https://declarations.com.ua/declaration/nacp_70ea6d79-b5a3-4d67-9e28-288bd4b517f8
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2020,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ЗАСТУПНИК СЕЛИЩНОГО ГОЛОВИ,https://declarations.com.ua/declaration/nacp_9d148836-b958-4b67-b014-50e8e6e0dc08
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2018,"ДП ""Київський лісгосп""",Майстер лісу Козинського лісництва,https://declarations.com.ua/declaration/nacp_6b73e759-7929-42ad-86aa-37b1e0166d6f
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ЗАСТУПНИК СЕЛИЩНОГО ГОЛОВИ,https://declarations.com.ua/declaration/nacp_51df40f3-5368-4f53-b570-fb7913a63c05
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ЗАСТУПНИК СЕЛИЩНОГО ГОЛОВИ,https://declarations.com.ua/declaration/nacp_8aa9d113-eb44-4250-952e-89fdd3318102
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2020,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ЗАСТУПНИК СЕЛИЩНОГО ГОЛОВИ,https://declarations.com.ua/declaration/nacp_91f0e9d6-6c0d-46d2-8c1b-1a3c3553bfb6
Бондаренко Микола Васильович,Світлана,Валентинівна,Бондаренко,2018,тимчасово не працюю,тимчасово не працюю,https://declarations.com.ua/declaration/nacp_97cbc592-f326-4d66-a9b3-d672ae25a500
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ДП Київське лісове господарство,Майстер лісу Козинського лісництва,https://declarations.com.ua/declaration/nacp_4858059a-499b-443d-99e1-8fa3155d030b
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ,ПЕРШИЙ ЗАСТУПНИК ,https://declarations.com.ua/declaration/nacp_9ae1734e-c63d-4e33-b0ee-a7b34774b6b6
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ПЕРШИЙ ЗАСТУПНИК,https://declarations.com.ua/declaration/nacp_27fd3e46-f9b7-48e9-af93-f00f3cb8a46a
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2019,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ,ПЕРШИЙ ЗАСТУПНИК,https://declarations.com.ua/declaration/nacp_434066f3-e7d0-41f7-9824-37ed7efd82b8
Бондаренко Микола Васильович,Інна,Анатоліївна,Бондаренко,2018,Першотравнева сільська рада,депутат місцевого самоврядування,https://declarations.com.ua/declaration/nacp_59d829a2-fb59-4dc8-b481-24b7650eb1b0
Бондаренко Микола Васильович,Богдан,Миколайович,Бондаренко,2018,Києво-Святошинський відділ поліції ГУНП у Київській області,Інспектор сектору реагування патрульної поліції,https://declarations.com.ua/declaration/nacp_d7447e7f-6a33-40c6-b1c4-ae96573edb25
Бондаренко Микола Васильович,Світлана,Валентинівна,Бондаренко,2019,тимчасово не працюю,тимчасово не працюю,https://declarations.com.ua/declaration/nacp_9407e0e7-247c-4e77-bd04-e26d9a1794fb
Бондаренко Микола Васильович,Інна,Анатоліївна,Бондаренко,2019,Першотравнева сільська рада,депутат місцевого самоврядування,https://declarations.com.ua/declaration/nacp_e3e8b9ea-87a4-4994-834e-fa28cde1fb55
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2020,ДП Київське лісове господарство,Майстер лісу Козинського лісництва,https://declarations.com.ua/declaration/nacp_9f996259-f596-409c-b077-6ed24ce065a8
Бондаренко Микола Васильович,Микола,Васильович,Бондаренко,2020,ВИКОНАВЧИЙ КОМІТЕТ ЛИСЯНСЬКОЇ СЕЛИЩНОЇ РАДИ,ЗАСТУПНИК СЕЛИЩНОГО ГОЛОВИ,https://declarations.com.ua/declaration/nacp_70edb70e-4253-4bc9-a1d9-c027cb77626e
Бондаренко Микола Васильович,Євген,Миколайович,Бондаренко,2018,30 Державна пожежно-рятувальна частина 12 Державного пожежно-рятувального загону ГУ ДСНС України у Донецькій області,пожежний рятувальник,https://declarations.com.ua/declaration/nacp_34861e47-49bf-4aa3-aa85-91d4adf79f40
Бондаренко Микола Васильович,Роман,Миколайович,Бондаренко,2018,Департамент патрульної поліції,рядовий поліції,https://declarations.com.ua/declaration/nacp_2520be6a-3dc0-4eb7-a9e8-d2e5c3d7466d
Бондаренко Микола Васильович,Ігор,Іванович,Судомора,2018,Броварський ВП ГУ НП в Київській області,поліцейський,https://declarations.com.ua/declaration/nacp_33c63278-1bbf-4dc3-b2d7-7d7a4f98e74d
Бондаренко Микола Васильович,Олексій,Олександрович,Кшенський,2018,Саксаганська Сільська рада ,Депутат,https://declarations.com.ua/declaration/nacp_4d5ff853-fdcf-462c-b697-9a3808ce4b65
Бондаренко Микола Васильович,Євген,Миколайович,Бондаренко,2019,30 Державна пожежно-рятувальна частина 12 Державного пожежно-рятувального загону ГУ ДСНС України у Донецькій області,пожежний рятувальник,https://declarations.com.ua/declaration/nacp_912fcb69-a419-495c-a019-d28f0c9f6eb3
Бондаренко Микола Васильович,Людмила,Миколаївна,Реєнт,2018,Адміністрація Державної прикордонної служби України ,головний спуціаліст,https://declarations.com.ua/declaration/nacp_29ce7eb4-c9ca-4b52-8812-bf34000e07d7
Бондаренко Микола Васильович,Ігор,Іванович,Судомора,2019,Броварський ВП ГУ НП в Київській області,поліцейський,https://declarations.com.ua/declaration/nacp_797e7854-2b52-4d49-862f-b276e336c8d9
Бондаренко Микола Васильович,Світлана,Валентинівна,Бондаренко,2020,фізична особа підприемиць,продавець,https://declarations.com.ua/declaration/nacp_37d59e64-f060-4063-a385-8499dead713f
Бондаренко Микола Васильович,Євген,Миколайович,Бондаренко,2020,30 Державна пожежно-рятувальна частина 12 Державного пожежно-рятувального загону ГУ ДСНС України у Донецькій області,пожежний рятувальник,https://declarations.com.ua/declaration/nacp_b488e86c-fe86-4b71-af34-105495f057b2
Бондаренко Микола Васильович,Ігор,Іванович,Судомора,2020,Броварський ВП ГУ НП в Київській області,поліцейський,https://declarations.com.ua/declaration/nacp_945c28de-35b5-49f5-a9be-719017a0567e
Бондаренко Микола Васильович,Ігор,Іванович,Судомора,2020,Броварський ВП ГУ НП в Київській області,поліцейський,https://declarations.com.ua/declaration/nacp_4f6db35b-7ce7-4d0d-9bf3-1a16a1f56920
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2019,Головне управління ДСНС України у Луганській області,головний інспектор відділу запобігання надзвичайним ситуаціям Сєвєродонецького міського управління Головного управління ДСНС України у Луганській області ,https://declarations.com.ua/declaration/nacp_0221ff0b-aac0-4cee-aaed-f5438fcf2852
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2018,Головне управління ДСНС України у Луганській області,головний інспектор відділу запобігання надзвичайним ситуаціям Сєвєродонецького міського управління Головного управління ДСНС України у Луганській області ,https://declarations.com.ua/declaration/nacp_cf4762ae-cada-41c4-9480-275712fab0e1
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2018,"Заводський районний м. Дніпродзержинська, Дніпропетровської області",Суддя,https://declarations.com.ua/declaration/nacp_df16ae57-691e-4a19-8508-1a33c8437134
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2020,Заводський районний суд м. Дніпродзержинська Дніпропетровської області,Суддя,https://declarations.com.ua/declaration/nacp_b5cdedb7-b26b-4f6a-a6a3-0eb401979a99
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2018,"Заводський районний м. Дніпродзержинська, Дніпропетровської області",Суддя,https://declarations.com.ua/declaration/nacp_e5aaa8f1-4cf4-4bfd-a9da-bd6fcea2a271
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2019,Заводський районний суд м. Дніпродзержинська Дніпропетровської області,Суддя,https://declarations.com.ua/declaration/nacp_a609e506-eefb-49e9-91ca-0a9f03eec575
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2020,Водянобалківська сільська рада,бухгалтер,https://declarations.com.ua/declaration/nacp_c8a87cd6-ec66-4e15-8ec8-49782dc67177
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2020,Диканська селищна рада,Адміністратор ЦНАП,https://declarations.com.ua/declaration/nacp_82d19892-17b9-4ff0-94e3-7c9ecc0ce7d2
Бондаренко Наталія Олексіївна,Наталія,Олексіївна,Бондаренко,2020,Головне управління ДСНС України у Луганській області,головний інспектор відділу запобігання надзвичайним ситуаціям Сєвєродонецького міського управління Головного управління ДСНС України у Луганській області ,https://declarations.com.ua/declaration/nacp_19a2b140-f5cb-44e7-9060-656c99fc201c
Бондаренко Наталія Олексіївна,Олена,Юріївна,Корецька,2019,ПОЛІЦЕЙСЬКИЙ БАТАЛЬОН ПАТРУЛЬНОЇ ПОЛІЦІЇ М. КРЕМЕНЧУК,ПОЛІЦЕЙСЬКИЙ ПАТРУЛЬНИЙ ПОЛІЦІЇ,https://declarations.com.ua/declaration/nacp_72925170-f24e-47e5-88b9-2b8833556429
Бондаренко Наталія Олексіївна,Тетяна,Олексіївна,Погуца,2018,"КО ""КИЇВЗЕЛЕНБУД""",інженер - проектувальник,https://declarations.com.ua/declaration/nacp_28507337-ec9b-4778-8e50-6714bf04d2c3
Жукова Тамара Олексіївна,Геннадій,Анатолійович,Вацак,2019,Верховна Рада України,"Народний депутат України, секретар Комітету Верховної Ради України з питань транспорту та інфраструктури",https://declarations.com.ua/declaration/nacp_549f7f0e-cb1b-42d1-bacf-f5d6f3b0ac3f
Жукова Тамара Олексіївна,Геннадій,Анатолійович,Вацак,2019,Верховна Рада України,"Народний депутат України, секретар Комітету Верховної Ради України з питань транспорту та інфраструктури",https://declarations.com.ua/declaration/nacp_f1791478-1eaa-413c-b02e-ac37c8ee9a09
Черниш Валентин Віталійович,Олена,Володимирівна,Черниш,2018,головне управління Пенсійного фонду України в Миколаївській області,головний спеціаліст відділу супроводження інформаційних систем та електронних реєстрів № 2 управління інформаційних систем та електронних реєстрів головного управління Пенсійного фонду України в Миколаївській області,https://declarations.com.ua/declaration/nacp_a0273937-42a5-4e58-ba5b-fbbd8cbc7ef9
Черниш Валентин Віталійович,Олена,Володимирівна,Черниш,2018,Центральне об'єднане управління Пенсійного фонду України м. Миколаєва Миколаївської області,Провідний спеціаліст фінансово-економічного відділу,https://declarations.com.ua/declaration/nacp_8d7ce116-e0bc-4662-a3ca-3003f76eae12
Черниш Валентин Віталійович,Олена,Володимирівна,Черниш,2019,головне управління Пенсійного фонду України в Миколаївській області,головний спеціаліст відділу супроводження інформаційних систем та електронних реєстрів № 2 управління інформаційних систем та електронних реєстрів головного управління Пенсійного фонду України в Миколаївській області,https://declarations.com.ua/declaration/nacp_bbb6f0e7-876d-49da-b018-39fe6ee49a33
Черниш Валентин Віталійович,Олена,Володимирівна,Черниш,2019,головне управління Пенсійного фонду України в Миколаївській області,головний спеціаліст відділу супроводження інформаційних систем та електронних реєстрів № 2 управління інформаційних систем та електронних реєстрів головного управління Пенсійного фонду України в Миколаївській області,https://declarations.com.ua/declaration/nacp_cb6b83df-de23-4d68-b8d2-12bd48f53a91
